id,abbr,flashscoreName
1,LOSC,Lille
2,PSG,PSG
3,ASM,Monaco
4,OL,Lyon
5,OM,Marseille
6,SRFC,Rennes
7,RCL,Lens
8,MHSC,Montpellier
9,OGCN,Nice
10,FCM,Metz
11,ASSE,Saint-Étienne
12,FCGB,Bordeaux
13,SCO,Angers
14,SDR,Reims
15,RCSA,Strasbourg
16,FCL,Lorient
17,SB29,Brest
18,FCN,Nantes
19,NO,Nîmes
20,DFCO,Dijon
21,ASC,Amiens
22,TFC,Toulouse
23,SMC,Caen
24,EAG,Guingamp
25,ESTAC,Troyes
26,ASNL,Nancy
27,SCB,Bastia
28,GFCA,GFC Ajaccio
29,TEGG,Évian
30,VAFC,Valenciennes
31,ACA,AC Ajaccio
32,AJA,Auxerre
33,ACAA,Arles-Avignon
34,LMFC,Le Mans
35,USB,Boulogne
36,GF38,Grenoble Foot
37,HAC,Le Havre
38,CSSA,Sedan
39,FCI,Istres
40,FCSM,Sochaux
41,CF63,Clermont
